location_id,year_id,age_group_id,sex_id,nid,super_region,region,country,measure,is_outlier,sample_size,val,variance,QA,citation_short,citation
10,2010,22,3,2955,"Southeast Asia, East Asia & Oceania",Southeast Asia,Cambodia,proportion,0,12,0.001,8.33E-05,2,Kuijpers (2017),"Kuijpers LMF, Phe T, Veng CH, et al. The clinical and microbiological characteristics of enteric fever in Cambodia, 2008-2015. PLoS Negl Trop Dis 2017; 11(9): e0005964."
10,2014,22,3,2955,"Southeast Asia, East Asia & Oceania",Southeast Asia,Cambodia,proportion,0,171,0.001,5.84E-06,2,Kuijpers (2017),"Kuijpers LMF, Phe T, Veng CH, et al. The clinical and microbiological characteristics of enteric fever in Cambodia, 2008-2015. PLoS Negl Trop Dis 2017; 11(9): e0005964."
11,1996,22,3,3143,"Southeast Asia, East Asia & Oceania",Southeast Asia,Indonesia,proportion,0,58,0.001,1.72E-05,1,Parwati(1998),"Parwati I, Samaun E. Multidrug resistance Salmonella in dr. Hasan Sadikin general hospital, Bandung. Med J Indones 1998; 7: 194."
11,1996,22,3,3151,"Southeast Asia, East Asia & Oceania",Southeast Asia,Indonesia,proportion,0,19,0.001,5.26E-05,2,Amdani (1998),"Amdani SK. Antibiotic resistance pattern of pediatric typhoid fever patients at Harapan Kita Children and Maternity Hospital Jakarta, 1996. Med J Indones 1998; 7: 253-6."
11,1997,22,3,1694,"Southeast Asia, East Asia & Oceania",Southeast Asia,Indonesia,proportion,0,5,0.001,0.0001998,2,Gasem(2003),"Gasem MH, Keuter M, Dolmans WM, Van Der Ven-Jongekrijg J, Djokomoeljanto R, Van Der Meer JW. Persistence of Salmonellae in blood and bone marrow: randomized controlled trial comparing ciprofloxacin and chloramphenicol treatments against enteric fever. Antimicrob Agents Chemother 2003; 47(5): 1727-31."
11,1998,22,3,230,"Southeast Asia, East Asia & Oceania",Southeast Asia,Indonesia,proportion,0,21,0.001,4.76E-05,2,Tjaniadi(2003),"Tjaniadi P, Lesmana M, Subekti D, et al. Antimicrobial resistance of bacterial pathogens associated with diarrheal patients in Indonesia. Am J Trop Med Hyg 2003; 68(6): 666-70."
11,2002,22,3,1940,"Southeast Asia, East Asia & Oceania",Southeast Asia,Indonesia,proportion,0,26,0.001,3.84E-05,2,Vollaard (2004),"Vollaard AM, Ali S, van Asten HA, et al. Risk factors for typhoid and paratyphoid fever in Jakarta, Indonesia. JAMA 2004; 291(21): 2607-15."
11,2002,22,3,883,"Southeast Asia, East Asia & Oceania",Southeast Asia,Indonesia,proportion,0,41,0.001,2.44E-05,2,Punjabi (2013),"Punjabi NH, Agtini MD, Ochiai RL, et al. Enteric fever burden in North Jakarta, Indonesia: a prospective, community-based study. J Infect Dev Ctries 2013; 7(11): 781-7."
12,2009,22,3,5148,"Southeast Asia, East Asia & Oceania",Southeast Asia,Laos,proportion,0,6,0.001,0.0001665,2,Roberts (2019),"Roberts, T. LOMRU blooc culture database. Vientiene, Laos; 2019"
12,2014,22,3,5148,"Southeast Asia, East Asia & Oceania",Southeast Asia,Laos,proportion,0,6,0.1667,0.023151852,2,Roberts (2019),"Roberts, T. LOMRU blooc culture database. Vientiene, Laos; 2019"
